Id,SalePrice
1461,126465.77741371363
1462,163117.83612596116
1463,175966.02091152972
1464,191084.1944885147
1465,176976.69879933842
1466,169342.6503198232
1467,177617.0328646524
1468,170371.8668787556
1469,176338.87790496604
1470,122721.6782326103
1471,202620.90057068918
1472,86364.62321137695
1473,103030.23330272824
1474,149338.3462996269
1475,115394.25198438107
1476,406405.0090299947
1477,263140.5354590321
1478,286930.29392935237
1479,271924.5852330407
1480,501655.63753126876
1481,324955.7537871507
1482,215529.19214565962
1483,172834.88813720204
1484,172178.7688874467
1485,188829.2423626954
1486,191759.34734966487
1487,308787.9179313468
1488,231454.01266130267
1489,206667.89011507254
1490,247566.8426649371
1491,187502.2230276421
1492,91590.18675857721
1493,181718.28211265642
1494,290522.6097162848
1495,274735.9104478173
1496,238901.12912979844
1497,182051.80329091207
1498,166158.22435362902
1499,164874.34198076132
1500,162970.1527542648
1501,172549.8770947946
1502,161909.09862030364
1503,299649.61088927434
1504,245463.2821226279
1505,216414.64197139116
1506,166437.97286895016
1507,247209.0842927665
1508,194087.92736872795
1509,163575.1050761121
1510,148196.31789113677
1511,141102.1171212496
1512,169494.27553109752
1513,137214.5298040895
1514,153719.18246011584
1515,205157.88836943265
1516,150416.49541158983
1517,163130.1032598761
1518,127292.06072359413
1519,222962.3638858667
1520,136232.13782769517
1521,132272.10439303145
1522,162981.74251887042
1523,121636.66048975736
1524,126446.46482458706
1525,125400.18316468246
1526,118943.309622586
1527,107484.97702650577
1528,134985.9077638096
1529,153016.83938066225
1530,186525.15927946309
1531,108494.25651572077
1532,99346.79921028024
1533,148095.83831321407
1534,113143.72509832622
1535,163714.840545596
1536,116513.5315407226
1537,62031.5121792645
1538,149035.53234282322
1539,181873.15947347265
1540,91378.36166777059
1541,133452.7015594206
1542,143543.07202953068
1543,206975.27607575495
1544,83754.83486027489
1545,111923.1833221978
1546,127106.24460116815
1547,132338.53088560785
1548,127280.3827017576
1549,112119.31816747034
1550,131363.47528256316
1551,109123.10990938652
1552,137329.73261751214
1553,137145.3774553648
1554,118588.34837505028
1555,171283.27131245725
1556,87885.08518576236
1557,108117.589609945
1558,86915.79793230104
1559,89191.61227705261
1560,139667.5046002587
1561,133441.98709413325
1562,133089.58069682185
1563,113592.75812040956
1564,165836.73397342063
1565,146660.87721514338
1566,242007.80628539462
1567,60478.971225183406
1568,230163.9530026731
1569,150347.18757698033
1570,140220.28555816668
1571,112391.0039532512
1572,144177.1019557977
1573,260102.8229721227
1574,114973.92193179822
1575,217949.177352596
1576,221152.36578912934
1577,194243.02795990184
1578,151915.8769659776
1579,139655.87616526315
1580,186750.15639732254
1581,148431.65121700242
1582,123779.3989655832
1583,321048.0947400716
1584,215663.10306568377
1585,142577.17468419054
